value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
20,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
